AVERAGE;Nilai rata-rata dari responden
Kemudahan Penggunaan Binance;2,347345133
Kemudahan Penggunaan Indodax ;3,205752212
Kemudahan Penggunaan Tokocrypto;2,404867257
;
Keamanan Binance;2,480825959
Keamanan Indodax;3,200589971
Keamanan Tokocrypto;2,451327434
;
Likuiditas Binance ;2,466076696
Likuditas Indodax;3,15339233
Likuiditas Tokocrypto;2,460176991
;
Biaya Transaksi Binance;2,412979351
Biaya Transaksi Indodax;3,200589971
Biaya Transaksi Tokocrypto;2,510324484
;
Reputasi Platform Binance;2,480825959
Reputasi Indodax;3,230088496
Reputasi Tokocrypto;2,395280236
;
Dukungan Pelanggan Binance;2,407079646
Dukungan Pelanggan Indodax;3,200589971
Dukungan Pelanggan Tokocrypto;2,424778761
